Name,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,Arguments
637566,38.326402878576936,679.3087333614876,717.6351362400645,0.053406530621371254,0.9465934693786288,2.296193194552916,0.024698207978911063,0.9985728528690275,0.8483371806749205,0.0,0.024698207978911063
12217,26.77364312332778,585.3581788670474,612.1318219903753,0.04373836183891245,0.9562616381610873,2.1861081680391736,0.03571653038610573,0.9990430199464128,0.8745240473723174,0.0,0.03571653038610573
8130,5.810744696978698,413.9666750840798,419.7774197810586,0.01384244226382968,0.9861575577361701,2.0480689227204496,0.169712766463294,0.9999041888061937,0.9590475128319935,0.0,0.169712766463294
323,78.08180170667882,292.3919154444807,370.47371715115946,0.21076205434249506,0.789237945657505,1.6261637799986721,0.010107834711887758,0.977537393887994,0.5009757676245213,0.0,0.010107834711887758
7714,34.55056447731387,1187.613444144079,1222.1640086213927,0.028269990143374526,0.9717300098566257,2.7288855018786267,0.02812486639674643,0.9996003239581776,0.9175876065979961,0.0,0.02812486639674643
240,39.68818047135872,149.539973194178,189.22815366553672,0.20973718605059216,0.7902628139494078,1.3750798139887335,0.019911792492470323,0.9777577986329639,0.5027575034854856,0.0,0.019911792492470323
379,27.32455502498422,675.0746972687582,702.3992522937424,0.03890174275635067,0.9610982572436494,2.3417535574621478,0.03517342757694933,0.9992430407115772,0.8878348084993919,0.0,0.03517342757694933
8082,36.03088606400001,37.975207015743564,74.00609307974356,0.48686377789428437,0.5131362221057157,0.9996224955118329,0.014241565450104542,0.8734779114405269,0.2505176809936321,0.0,0.014241565450104542
165675,95.4711835380734,256.69331767111265,352.1645012091861,0.2710982600752352,0.7289017399247647,1.6085307457262685,0.007634782694760274,0.962551678292745,0.40718801962175405,0.0,0.007634782694760274
8144,7.277840895537196,743.7382213827348,751.016062278272,0.009690659442701182,0.9903093405572988,2.420788431580306,0.13607185905431937,0.9999530444573713,0.9712097483131996,0.0,0.13607185905431937
8102,5.232569366915783,265.4005520708558,270.6331214377715,0.01933454907188418,0.9806654509281162,1.7731970627466516,0.18741566182163136,0.9998130701347061,0.9431178271477866,0.0,0.18741566182163136
12587,41.57070601702894,228.5672457109998,270.13795172802867,0.15388695202250507,0.8461130479774952,1.61117436632877,0.020353588597482448,0.9880884606133316,0.6093827259408153,0.0,0.020353588597482448
5281168,5.305921893891375,277.95129059324216,283.2572124871335,0.01873181567841768,0.9812681843215826,1.7934481226377579,0.1849383017588897,0.999824544148317,0.9448571957205774,0.0,0.1849383017588897
454,6.8475903304812835,586.6691200878151,593.5167104182964,0.011537316827449164,0.9884626831725509,2.3011178047777885,0.14435190124802294,0.9999334429452907,0.965787378556383,0.0,0.14435190124802294
62131,31.7624520054167,395.1413666518889,426.9038186573056,0.07440189245745261,0.9255981075425475,1.6747852227861535,0.02914126741174447,0.9972283381446546,0.7934012474313933,0.0,0.02914126741174447
264,24.252307106336477,110.20905600842494,134.46136311476138,0.18036636357492067,0.8196336364250796,1.2961038149999435,0.033796109905392516,0.9835994992326701,0.5564969846029593,0.0,0.033796109905392516
6276,4.173864677513005,175.92608248817945,180.09994716569244,0.023175268750484628,0.9768247312495154,1.5388481349793486,0.23403363710189953,0.9997314173908624,0.9320854729935176,0.0,0.23403363710189953
7799,31.055358813571356,1057.0694970961067,1088.124855909678,0.02854025311976622,0.9714597468802338,2.6746276960688227,0.03128154959380797,0.9995926440064772,0.9168228787851221,0.0,0.03128154959380797
15717,61.24722941229996,767.7535059990786,829.0007354113782,0.07388079020449483,0.9261192097955057,2.247491339344456,0.015120997613804194,0.9972670799934987,0.7947327428702372,0.0,0.015120997613804194
1032,22.893051068727427,52.66624455216524,75.55929562089266,0.3029812663102347,0.6970187336897654,1.0538784473919522,0.030446738252460952,0.9529965121998332,0.3664491442741561,0.0,0.030446738252460952
8158,28.80158661599125,922.8439412146683,951.6455278306596,0.030265036480175995,0.969734963519824,2.6062927008510663,0.03366949801930032,0.9995419088596804,0.9119528078589112,0.0,0.03366949801930032
439570,89.48914264606411,290.91495537438976,380.404098020454,0.23524757780409705,0.7647524221959027,1.6717801789671123,0.008545756497193772,0.9719354799251364,0.4602815351757927,0.0,0.008545756497193772
61346,24.603204312252178,404.33131651457404,428.93452082682626,0.05735888140881351,0.9426411185911864,1.9562208218617887,0.03831375403901188,0.9983536240849381,0.8377934796029705,0.0,0.03831375403901188
3102,136.82109745301202,504.4639627980801,641.2850602510923,0.21335456871463732,0.7866454312853624,1.9301103474384826,0.005749445413968538,0.9769748348901273,0.49649680983031474,0.0,0.005749445413968538
19494,36.00774154991,112.67440329600146,148.68214484591144,0.24217932548139567,0.7578206745186045,1.2708972366234297,0.021046048485662345,0.9702315055229737,0.4494145006276845,0.0,0.021046048485662345
7127,165.05324092357426,485.86228066954413,650.9155215931185,0.25357090966214135,0.7464290903378585,1.9915117946121055,0.004522353430693813,0.9673168011427871,0.4321818896942335,0.0,0.004522353430693813
8103,5.305918569277096,277.95242443415276,283.2583430034299,0.01873172918056944,0.9812682708194304,1.793451701576293,0.18493843394078383,0.9998245457688593,0.9448574454925742,0.0,0.18493843394078383
8785,59.95551475558382,458.4615892661029,518.4171040216867,0.11565111237741055,0.8843488876225896,1.9236463955625973,0.014750084145349245,0.9932898973642426,0.6931722022501656,0.0,0.014750084145349245
8129,5.81071911951027,413.9617898932516,419.7725090127618,0.013842543269868142,0.986157456730132,2.0480569430130195,0.16971349611771386,0.9999041874078844,0.9590472182029302,0.0,0.16971349611771386
