Name,MolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA
637566,154.25299999999996,2.671400000000001,1,1,4,20.23
12217,144.214,2.1298000000000004,0,2,5,26.3
8130,114.18799999999999,2.1557000000000004,0,1,5,17.07
323,146.14499999999995,1.7929999999999995,0,2,0,30.21
7714,184.27899999999997,3.052500000000002,0,2,6,26.3
240,106.12399999999998,1.4991,0,1,1,17.07
379,144.214,2.4315000000000007,1,1,6,37.3
8082,85.15,0.7599,1,1,0,12.03
165675,156.26899999999998,2.4395000000000007,1,1,1,20.23
8144,146.299,3.2767000000000017,1,1,6,0.0
8102,101.193,1.5254,1,1,4,26.02
12587,116.16,1.5072,1,1,3,37.3
5281168,98.14499999999997,1.5415999999999999,0,1,3,17.07
454,128.215,2.5458000000000007,0,1,6,17.07
62131,160.263,2.790800000000001,0,3,3,13.14
264,88.106,0.8711,1,1,2,37.3
6276,88.15,1.1689,1,1,3,20.23
7799,172.268,2.910000000000001,0,2,7,26.3
15717,176.21499999999995,1.9583,0,2,4,26.3
1032,74.079,0.481,1,1,1,37.3
8158,158.24099999999999,2.821600000000001,1,1,7,37.3
439570,150.22099999999998,2.4879000000000007,0,1,1,17.07
61346,126.19899999999998,2.3218000000000005,0,1,5,17.07
3102,182.22199999999998,2.917600000000001,0,1,2,17.07
19494,100.117,0.8711,1,1,1,37.3
7127,178.23099999999997,2.4323000000000006,0,2,4,18.46
8103,102.177,1.5590000000000002,1,1,4,20.23
8785,150.17699999999996,1.7496999999999998,0,2,2,26.3
8129,116.20400000000001,1.9491,1,1,5,20.23
24114,216.27699999999996,2.0615,0,4,7,52.6
262,90.12200000000001,-0.2520000000000002,2,2,1,40.46
9261,80.08999999999999,0.47659999999999997,0,2,0,25.78
4133,152.14899999999997,1.1787999999999998,1,3,1,46.53
31276,130.18699999999998,1.5956000000000001,0,2,3,26.3
252379,302.414,3.059800000000002,1,3,1,54.37
8314,102.133,1.1171,1,1,2,37.3
8461,182.13500000000002,1.81142,0,4,2,86.28
8094,130.187,2.0414,1,1,5,37.3
460,124.13899999999995,1.4007999999999998,1,2,1,29.46
638014,192.302,3.6582000000000026,0,1,2,17.07
8129,116.20400000000001,1.9491,1,1,5,20.23
8908,144.214,2.1298000000000004,0,2,5,26.3
175,59.044,-1.2438000000000002,0,2,0,40.129999999999995
10430,102.133,1.1171,1,1,2,37.3
8158,158.24099999999999,2.821600000000001,1,1,7,37.3
5282108,192.302,3.5141000000000027,0,1,2,17.07
12232,94.204,1.6274,0,2,1,0.0
7463,134.22199999999995,3.118420000000002,0,0,1,0.0
7755,116.16,1.5072,1,1,3,37.3
527,58.07999999999999,0.5952999999999999,0,1,1,17.07
31289,142.242,2.935900000000001,0,1,7,17.07
